"Reference","Value","Comment","LCSC Part #","Qty"
"C1,C2,C3,C6","100nF","0805","C49678","4"
"C4,C7","1uF","0805","C91185","2"
"C5","10uF","0805","C1952580","1"
"D1","1N4148W","SOD-123","C81598","1"
"D2,D3,D4","green","0805","C2297","3"
"J1","Joystick","DSUB-9 Male","C141880","1"
"J3,J10","Conn_02x04_Pin","2x04, P2.54mm","C7501275","2"
"J4,J7,J8,J9","Conn_01x20_Pin","1x20, P2.54mm","C18078139","4"
"J5","MIDI IN","DIN-5_180degree","C2939346","1"
"J6","MIDI OUT","DIN-5_180degree","C2939346","1"
"J11,J12","USB_A_Stacked","","C456021","2"
"Q1,Q2,Q3,Q4,Q5,Q6","BSS123","SOT-23","C79015","6"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14","10k","0805","C17414","13"
"R11,R15","220","0805","C17557","2"
"R16,R17","47","0805","C17714","2"
"R18,R19,R20","560","0805","C28636","3"
"U1","H11L1S","SMDIP-6","C78589","1"
"U2","74LVC2G14","SOT-23-6","C5375976","1"
"U4","CH334U","SSOP-28","C5187524","1"
"Y1","Crystal_GND24","SMD 3225 4-Pin","C9002","1"
