Designator,Mid X,Mid Y,Rotation,Layer
C1,93.292,-86.95,270.0,top
C2,101.682,-72.42,90.0,top
C3,100.592,-79.85,270.0,top
C4,148.892,-71.3,180.0,top
C5,144.7595,-60.7,270.0,top
C6,142.692,-60.7,270.0,top
C7,146.792,-60.7,270.0,top
D1,100.932,-57.17,180.0,top
D2,134.192,-93.5,270.0,top
D3,131.952,-93.5,270.0,top
D4,129.642,-93.5,270.0,top
J1,81.152331,-67.09,270.0,top
J10,157.422,-43.67,270.0,top
J11,143.942,-81.96,0.0,top
J12,143.942,-52.19,180.0,top
J3,157.402,-90.52,270.0,top
J4,89.022,-66.58,0.0,top
J5,162.892,-76.85,90.0,top
J6,162.892,-57.35,90.0,top
J7,109.342,-66.58,0.0,top
J8,114.341,-64.53,0.0,top
J9,132.122,-64.52,0.0,top
Q1,82.9045,-49.1,0.0,top
Q2,82.892,-85.15,0.0,top
Q3,82.9045,-42.1,0.0,top
Q4,82.892,-92.15,0.0,top
Q5,82.9045,-45.6,0.0,top
Q6,82.892,-88.65,0.0,top
R1,79.592,-85.1,270.0,top
R10,85.9045,-49.1,270.0,top
R11,96.632,-74.4325,270.0,top
R12,85.9045,-42.1,270.0,top
R13,85.9045,-45.6,270.0,top
R14,97.532,-71.67,0.0,top
R15,104.492,-60.7,90.0,top
R16,101.3045,-82.6,0.0,top
R17,103.732,-72.42,90.0,top
R18,123.792,-76.25,90.0,top
R19,121.492,-76.25,90.0,top
R2,75.192,-85.1,270.0,top
R20,119.202,-76.25,90.0,top
R3,77.392,-85.1,270.0,top
R4,79.592,-49.15,90.0,top
R5,75.192,-49.15,90.0,top
R6,77.392,-49.15,90.0,top
R7,85.892,-85.15,270.0,top
R8,85.892,-92.15,270.0,top
R9,85.892,-88.65,270.0,top
U1,99.182,-64.52,270.0,top
U2,97.342,-80.8,180.0,top
U4,144.442,-66.4,0.0,top
Y1,140.492,-72.1,180.0,top
