Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF,C12891
"D1, D2, D3, D5",0805,4,green,C2297
D4,D_SMA,1,SS34,C8678
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J2,PinHeader_2x06_P2.54mm_Horizontal,1,PMOD,C60565
"J3, J4",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,C18078139
L1,L_6.3x6.3_H3,1,4.7uH,C142106
"R1, R2",0402,2,5k1,C25905
"R3, R4, R7, R8",0805,4,1k2,C17379
R5,0805,1,220k,C17556
R6,0805,1,30k,C17621
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,SOT-23-6,1,EA2208,C22462489
